churned,account_length,area_code,intl_plan,number_customer_service_calls,number_vmail_messages,phone_number,state,total_day_calls,total_day_charge,total_day_minutes,total_eve_calls,total_eve_charge,total_eve_minutes,total_intl_calls,total_intl_charge,total_intl_minutes,total_night_calls,total_night_charge,voice_mail_plan,total_night_minutes,_dmIndex_,_PartInd_,M_FILTER
0,128,415,no,1,25,382-4657,KS,110,45.07,265.1,99,16.78,197.4,3,2.7,10,91,11.01,yes,244.7,1000001,1,0
0,107,415,no,1,26,371-7191,OH,123,27.47,161.6,103,16.62,195.5,3,3.7,13.7,103,11.45,yes,254.4,1000002,0,0
0,137,415,no,0,0,358-1921,NJ,114,41.38,243.4,110,10.3,121.2,5,3.29,12.2,104,7.32,no,162.6,1000003,1,0
0,84,408,yes,2,0,375-9999,OH,71,50.9,299.4,88,5.26,61.9,7,1.78,6.6,89,8.86,no,196.9,1000004,0,0
0,75,415,yes,3,0,330-6626,OK,113,28.34,166.7,122,12.61,148.3,3,2.73,10.1,121,8.41,no,186.9,1000005,0,0
0,118,510,yes,0,0,391-8027,AL,98,37.98,223.4,101,18.75,220.6,6,1.7,6.3,118,9.18,no,203.9,1000006,1,0
0,121,510,no,3,24,355-9993,MA,88,37.09,218.2,108,29.62,348.5,7,2.03,7.5,118,9.57,yes,212.6,1000007,2,0
0,147,415,yes,0,0,329-9001,MO,79,26.69,157,94,8.76,103.1,6,1.92,7.1,96,9.53,no,211.8,1000008,1,0
0,117,408,no,1,0,335-4719,LA,97,31.37,184.5,80,29.89,351.6,4,2.35,8.7,90,9.71,no,215.8,1000009,1,0
0,141,415,yes,0,37,330-8173,WV,84,43.96,258.6,111,18.87,222,5,3.02,11.2,97,14.69,yes,326.4,1000010,0,0
1,65,415,no,4,0,329-6603,IN,137,21.95,129.1,83,19.42,228.5,6,3.43,12.7,111,9.4,no,208.8,1000011,0,0
0,74,415,no,0,0,344-9403,RI,127,31.91,187.7,148,13.89,163.4,5,2.46,9.1,94,8.82,no,196,1000012,1,0
